Title,Element Name,Weight,Data Value
Fabric and Apparel Patternmakers,Active Learning,608,3.38
Financial Analysts,Active Learning,608,3.38
"Fine Artists, Including Painters, Sculptors, and Illustrators",Active Learning,608,3.38
Fire Inspectors,Active Learning,608,3.38
Fitness and Wellness Coordinators,Active Learning,608,3.38
Fuel Cell Engineers,Active Learning,608,3.38
"Hairdressers, Hairstylists, and Cosmetologists",Active Learning,608,3.38
Healthcare Social Workers,Active Learning,608,3.38
Human Factors Engineers and Ergonomists,Active Learning,608,3.38
Immigration and Customs Inspectors,Active Learning,608,3.38
Licensed Practical and Licensed Vocational Nurses,Active Learning,608,3.38
Management Analysts,Active Learning,608,3.38
Manufactured Building and Mobile Home Installers,Active Learning,608,3.38
Mapping Technicians,Active Learning,608,3.38
Marine Engineers,Active Learning,608,3.38
Mechanical Engineers,Active Learning,608,3.38
Mechatronics Engineers,Active Learning,608,3.38
Mental Health and Substance Abuse Social Workers,Active Learning,608,3.38
Millwrights,Active Learning,608,3.38
Music Directors,Active Learning,608,3.38
Music Therapists,Active Learning,608,3.38
Natural Sciences Managers,Active Learning,608,3.38
Nursery and Greenhouse Managers,Active Learning,608,3.38
Optometrists,Active Learning,608,3.38
Patient Representatives,Active Learning,608,3.38
Photonics Engineers,Active Learning,608,3.38
"Preschool Teachers, Except Special Education",Active Learning,608,3.38
Private Detectives and Investigators,Active Learning,608,3.38
Product Safety Engineers,Active Learning,608,3.38
Purchasing Managers,Active Learning,608,3.38
Range Managers,Active Learning,608,3.38
"Recreation and Fitness Studies Teachers, Postsecondary",Active Learning,608,3.38
Registered Nurses,Active Learning,608,3.38
Regulatory Affairs Managers,Active Learning,608,3.38
Regulatory Affairs Specialists,Active Learning,608,3.38
Respiratory Therapy Technicians,Active Learning,608,3.38
Security Management Specialists,Active Learning,608,3.38
Solar Energy Systems Engineers,Active Learning,608,3.38
"Special Education Teachers, Secondary School",Active Learning,608,3.38
Survey Researchers,Active Learning,608,3.38
Sustainability Specialists,Active Learning,608,3.38
Talent Directors,Active Learning,608,3.38
Technical Directors/Managers,Active Learning,608,3.38
"Telecommunications Equipment Installers and Repairers, Except Line Installers",Active Learning,608,3.38
Transit and Railroad Police,Active Learning,608,3.38
Transportation Engineers,Active Learning,608,3.38
Travel Agents,Active Learning,608,3.38
Urban and Regional Planners,Active Learning,608,3.38
Validation Engineers,Active Learning,608,3.38
Water/Wastewater Engineers,Active Learning,608,3.38
"Wholesale and Retail Buyers, Except Farm Products",Active Learning,608,3.38
Accountants,Active Learning,608,3.25
Advertising and Promotions Managers,Active Learning,608,3.25
Aerospace Engineering and Operations Technicians,Active Learning,608,3.25
Agricultural Inspectors,Active Learning,608,3.25
Airfield Operations Specialists,Active Learning,608,3.25
Animal Trainers,Active Learning,608,3.25
Aquacultural Managers,Active Learning,608,3.25
Archivists,Active Learning,608,3.25
Automotive Engineers,Active Learning,608,3.25
Biofuels/Biodiesel Technology and Product Development Managers,Active Learning,608,3.25
Biological Technicians,Active Learning,608,3.25
Budget Analysts,Active Learning,608,3.25
